sr no.,date,item_id,quantity,price_base,sum_total,store_id
0,04/08/2023,2.93376E+11,1,47.86,47.86,1
1,04/08/2023,a66fdf2c0ae7,3,49.6,148.8,1
2,04/08/2023,daa46ef49b7a,0.822,379,311.54,1
3,04/08/2023,a3b49c1bf758,1,129,129,1
4,04/08/2023,ab611c5cef62,7,79.9,559.3,1
5,04/08/2023,be3b7250209f,1,129.9,129.9,1
6,04/08/2023,651c34ed4958,1,89.9,89.9,1
7,04/08/2023,7390a33d7f34,2,119.9,239.8,1
8,04/08/2023,d2f975315972,1,89.9,89.9,1
9,04/08/2023,d788cc0f8e2a,5,159.9,799.5,1
10,04/08/2023,f0309b5a974b,1,59.9,59.9,1
11,04/08/2023,0aa837b93d7e,46.34,147.55,6837.45,1
12,04/08/2023,8fd19004e664,6,29.9,179.4,1
13,04/08/2023,5f3114373ddd,2,449.9,899.8,1
14,04/08/2023,393689c97532,2,99.9,199.8,1
15,04/08/2023,668df13645a2,2,149.9,299.8,1
16,04/08/2023,68b1397119e1,2,1282.04,2564.08,1
17,04/08/2023,8b2e530f97ab,2,49.9,99.8,1
18,04/08/2023,56edb7bdecaf,2,169.9,339.8,1
19,04/08/2023,0b211fdb94a9,5,219.9,1099.5,1
20,04/08/2023,8c9d638a9581,1,88,88,1
21,04/08/2023,bb71024009cb,1,110.9,110.9,1
22,04/08/2023,6a36bad625b6,1,134.9,134.9,1
23,04/08/2023,d862997509e4,6,18.59,111.52,1
24,04/08/2023,6f9d7773db65,2,129.9,259.8,1
25,04/08/2023,a8eedd96f742,1,1299.9,1299.9,1
26,04/08/2023,4006d7dc01f2,2,155,310,1
27,04/08/2023,17a5b102fcfb,1,229.9,229.9,1
28,04/08/2023,1baa52a07ad0,7,87.66,613.63,1
29,04/08/2023,3fe69c3913fa,1,199.9,199.9,1
30,04/08/2023,034037aebd6e,7,99.9,699.3,1
31,04/08/2023,5fa0bebd779f,29,42.9,1244.1,1
32,04/08/2023,a1666fae25ee,1,121.67,121.67,1
33,04/08/2023,9cea803407be,1,54.9,54.9,1
34,04/08/2023,15dc87b629e3,2.824,279,787.91,1
35,04/08/2023,009788312f95,2,59.9,119.8,1
36,04/08/2023,0780b159bd55,1,319.9,319.9,1
37,04/08/2023,4e83c27f85b2,1,190,190,1
38,04/08/2023,fababf301cde,18,39.9,718.2,1
39,04/08/2023,de61244fcc91,4,59.9,239.6,1
40,04/08/2023,9e780c68b6c1,1,64.9,64.9,1
41,04/08/2023,f1cc6216c8e6,4,63,252,1
42,04/08/2023,07bba8b6424a,5,39.72,198.6,1
43,04/08/2023,4d28af7c7654,3,73.24,219.72,1
44,04/08/2023,1b78a586a7ff,1,59.5,59.5,1
45,04/08/2023,7828df81f2d0,2,49.9,99.8,1
46,04/08/2023,1419f6dfcca9,3,27.9,83.7,1
47,04/08/2023,de8deca340de,1,34.9,34.9,1
48,04/08/2023,2b1d1ae21a0f,4,99.9,399.6,1
49,04/08/2023,f18795da117c,3.334,559,1863.71,1
50,04/08/2023,888d0e9669a6,1,339.9,339.9,1
51,04/08/2023,10930272a897,1,129.9,129.9,1
52,04/08/2023,1e71b6b39a7e,11,209.5,2304.54,1
53,04/08/2023,7a69c5ddb6ed,16,54.83,877.26,1
54,04/08/2023,6863d0f6243a,5,99.9,499.5,1
55,04/08/2023,7fee29b0a107,1.61,499,803.39,1
56,04/08/2023,9b561ac30434,6,42.4,254.41,1
57,04/08/2023,ea8f78452b8a,1,1150.9,1150.9,1
58,04/08/2023,e4e089c5c61d,2,79.9,159.8,1
59,04/08/2023,24557d20f701,1,129.9,129.9,1
60,04/08/2023,50b245105c0a,0.474,859.89,407.59,1
61,04/08/2023,30086f109c02,1,349,349,1
62,04/08/2023,19f2510e776d,2,157.67,315.33,1
63,04/08/2023,c156f13eaa60,6,49.9,299.4,1
64,04/08/2023,69731fcfc598,14.424,948.65,13683.36,1
65,04/08/2023,bccdf54c5e35,3,49.9,149.7,1
66,04/08/2023,47f6b46f5113,1,179.9,179.9,1
67,04/08/2023,042154adcb07,1,99.9,99.9,1
68,04/08/2023,13c62be475b6,4,239.78,959.11,1
69,04/08/2023,9f99af5f5387,2,119.9,239.8,1
70,04/08/2023,0a6198887287,4,229.9,919.6,1
71,04/08/2023,16781188edcd,28,29.56,827.54,1
72,04/08/2023,146d0854de82,3,42.42,127.25,1
73,04/08/2023,37baa055ea02,1,529.9,529.9,1
74,04/08/2023,e571cfe70872,5,67.07,335.35,1
75,04/08/2023,7df326b32b8c,11.925,346.05,4126.67,1
76,04/08/2023,e721400df85f,2,89.9,179.8,1
77,04/08/2023,4136e4372b1e,2,59.9,119.8,1
78,04/08/2023,8c1441c992b4,1,283.9,283.9,1
79,04/08/2023,c99ae3b4cfbd,5,21.9,109.5,1
80,04/08/2023,13d4259b0f09,3.921,289.9,1136.69,1
81,04/08/2023,95ce7fd9e510,1,79.9,79.9,1
82,04/08/2023,6402808de4c8,3,229.9,689.7,1
83,04/08/2023,a7962abafdf5,1,179.9,179.9,1
84,04/08/2023,b98a6c55bfe8,3.364,606.48,2040.21,1
85,04/08/2023,df25901e07ef,2,69.9,139.8,1
86,04/08/2023,72fe892ee8a1,6,69.68,418.07,1
87,04/08/2023,8ab850c0c739,24,62.86,1508.68,1
88,04/08/2023,2e2ce1e8958d,3,147,441,1
89,04/08/2023,2d1a3f2a82f6,2,100.9,201.8,1
90,04/08/2023,de63a6a1101d,2,69.9,139.8,1
91,04/08/2023,f43bd6120082,1,1350,1350,1
92,04/08/2023,d50d1fff8f3a,2,79.9,159.8,1
93,04/08/2023,7228a34dc028,1,126,126,1
94,04/08/2023,ab7e16e1fffb,1.978,1099.9,2175.61,1
95,04/08/2023,e269631dcb39,13,15.96,207.44,1
96,04/08/2023,ff88c2914cd0,13,79.9,1038.7,1
97,04/08/2023,b22bd41ce0bb,3,791.7,2375.1,1
98,04/08/2023,f1c124cf6cca,28,49.8,1394.42,1
99,04/08/2023,56e8140a6950,9,236.21,2125.89,1
100,04/08/2023,4b797bb271c0,1,599.9,599.9,1
101,04/08/2023,24c28729ee7c,1,249.9,249.9,1
102,04/08/2023,f20ab5dd218b,1.172,179.9,210.84,1
103,04/08/2023,a1a85a5a80ac,8,177,1416,1
104,04/08/2023,17004ddc7507,19,79.54,1511.21,1
105,04/08/2023,4acb3be11f0b,2,89.9,179.8,1
106,04/08/2023,79fdc441b59f,82,128.9,10569.52,1
107,04/08/2023,d7202fe81b76,6,44.9,269.4,1
108,04/08/2023,ec50f809fb60,3,229.9,689.7,1
109,04/08/2023,8d4d1754879b,2,139.9,279.8,1
110,04/08/2023,c2149157e294,20,69.86,1397.2,1
111,04/08/2023,65a99c721e97,4,149.9,599.6,1
112,04/08/2023,73833f642178,3,75,225,1
113,04/08/2023,f960d18e4b25,0.122,1089.02,132.86,1
114,04/08/2023,2e003d720213,1,269.9,269.9,1
115,04/08/2023,7c9ad6fd5146,2,59.9,119.8,1
116,04/08/2023,5fed687c2f00,1,129.9,129.9,1
117,04/08/2023,6de77fcaf58e,1,289.9,289.9,1
118,04/08/2023,367eced6a801,2,117,234,1
119,04/08/2023,573f2aa3f8e5,1,299.9,299.9,1
120,04/08/2023,14a302c21443,3,59.9,179.7,1
121,04/08/2023,666bc0539565,3,320,960,1
122,04/08/2023,b30a1abb0290,3,129.9,389.7,1
123,04/08/2023,59841717c63a,12,79.88,958.51,1
124,04/08/2023,0c52e8897e4e,3,49.9,149.7,1
125,04/08/2023,f60f366f347f,1,169.9,169.9,1
126,04/08/2023,5367996418d1,6,159.46,956.76,1
127,04/08/2023,8cf071613f3d,9,34.9,314.1,1
128,04/08/2023,67a5b2835977,1,527.92,527.92,1
129,04/08/2023,e852bb0cd67b,4,42.9,171.6,1
130,04/08/2023,7f8b47ebc550,1,62.9,62.9,1
131,04/08/2023,99de310cad9c,1,120,120,1
132,04/08/2023,eac4249745b6,3,20.9,62.7,1
133,04/08/2023,450a827d9536,1,69,69,1
134,04/08/2023,285528661eb5,3,277.59,832.78,1
135,04/08/2023,4755d8f845d3,1,699.9,699.9,1
